Dates,DayOfWeek,PdDistrict,Address,X,Y
2008-07-26 11:04:00,Saturday,TENDERLOIN,0 Block of TAYLOR ST,-122.410689907787,37.7824948907735
2009-04-03 00:22:00,Friday,MISSION,SOUTH VAN NESS AV / 22ND ST,-122.416569016036,37.755568796919
2011-04-07 18:30:00,Thursday,BAYVIEW,400 Block of WHEELER AV,-122.400390038778,37.710390875996396
2006-02-06 20:00:00,Monday,NORTHERN,500 Block of IVY ST,-122.42718841022,37.7767686999004
2014-08-21 18:00:00,Thursday,BAYVIEW,2200 Block of JERROLD AV,-122.401225687679,37.745432674617
2008-05-02 09:17:00,Friday,SOUTHERN,MARKET ST / 4TH ST,-122.405832474482,37.7857446545609
2004-05-11 21:00:00,Tuesday,BAYVIEW,2000 Block of MC KINNON AV,-122.397619323085,37.740664937712005
2005-02-11 22:09:00,Friday,MISSION,FOLSOM ST / 18TH ST,-122.415000536794,37.7620990020727
2009-02-08 04:14:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-12-04 14:00:00,Saturday,TARAVAL,1500 Block of 40TH AV,-122.499367590387,37.757887295016396
2006-10-07 00:30:00,Saturday,SOUTHERN,900 Block of MISSION ST,-122.40805253847,37.7815668300024
2004-09-27 12:00:00,Monday,SOUTHERN,1000 Block of MARKET ST,-122.41133956255699,37.7812707434494
2013-08-10 15:00:00,Saturday,PARK,HAIGHT ST / BRODERICK ST,-122.438710976559,37.7710564444746
2009-01-07 02:00:00,Wednesday,MISSION,400 Block of VALENCIA ST,-122.421935077177,37.7661343875141
2011-11-04 20:30:00,Friday,TENDERLOIN,100 Block of POWELL ST,-122.40801449292,37.7859507767613
2013-05-04 23:40:00,Saturday,CENTRAL,BROADWAY ST / COLUMBUS AV,-122.406669739951,37.7978641744394
2012-02-23 18:12:00,Thursday,TENDERLOIN,400 Block of ELLIS ST,-122.413631253258,37.7848053746211
2007-06-02 23:15:00,Saturday,INGLESIDE,4400 Block of MISSION ST,-122.43307534135,37.726854596498
2006-05-07 23:30:00,Sunday,CENTRAL,2600 Block of MASON ST,-122.41413989650299,37.8079521038261
2008-08-22 18:52:00,Friday,MISSION,500 Block of VALENCIA ST,-122.42173850847601,37.7640972229024
2008-10-03 09:45:00,Friday,NORTHERN,1100 Block of WEBSTER ST,-122.430366765692,37.781209274601295
2009-02-03 15:00:00,Tuesday,INGLESIDE,ARGONAUT AV / GARRISON AV,-122.41316112798799,37.710426152653
2012-09-23 01:45:00,Sunday,SOUTHERN,500 Block of HOWARD ST,-122.396934740624,37.7877468463797
2013-01-27 00:01:00,Sunday,CENTRAL,SUTTER ST / JONES ST,-122.4135447894,37.7885973839627
2004-05-14 09:49:00,Friday,NORTHERN,600 Block of LARCH ST,-122.42812986551901,37.7814240041364
2014-01-11 11:40:00,Saturday,SOUTHERN,1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2015-05-02 18:15:00,Saturday,NORTHERN,2900 Block of LAGUNA ST,-122.43058653090598,37.798199904951
2007-05-29 20:41:00,Tuesday,RICHMOND,GEARY BL / 3RD AV,-122.461062711176,37.7811580519204
2015-03-07 19:10:00,Saturday,TENDERLOIN,0 Block of LEAVENWORTH ST,-122.413706517535,37.7814229318029
2009-03-22 17:00:00,Sunday,RICHMOND,100 Block of 23RD AV,-122.48300519773501,37.7848859806637
2008-10-15 08:00:00,Wednesday,TARAVAL,600 Block of JUDAH ST,-122.46885942057501,37.7619612112973
2013-05-13 11:05:00,Monday,INGLESIDE,400 Block of CORTLAND AV,-122.416829686014,37.7390362845646
2011-03-23 18:50:00,Wednesday,BAYVIEW,FITZGERALD AV / INGALLS ST,-122.391307417333,37.720975688806796
2014-01-21 22:10:00,Tuesday,SOUTHERN,400 Block of NATOMA ST,-122.40583262164499,37.7815571576096
2010-03-28 15:54:00,Sunday,PARK,MCALLISTER ST / BAKER ST,-122.44167909289801,37.7773722278153
2011-03-23 11:00:00,Wednesday,INGLESIDE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
2012-02-22 16:00:00,Wednesday,TENDERLOIN,100 Block of TAYLOR ST,-122.410928353347,37.7836778741124
2005-11-17 19:23:00,Thursday,BAYVIEW,BANCROFT AV / KEITH ST,-122.392791275303,37.72560514494071
2007-06-27 08:55:00,Wednesday,INGLESIDE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029
2005-10-23 03:00:00,Sunday,RICHMOND,2300 Block of GOLDEN GATE AV,-122.449116002905,37.777321600666106
2007-06-01 12:20:00,Friday,TARAVAL,800 Block of CAPITOL AV,-122.459007287896,37.717858450682
2007-07-24 17:51:00,Tuesday,BAYVIEW,0 Block of SOMERSET ST,-122.40932668447701,37.7307118079315
2007-02-11 03:52:00,Sunday,NORTHERN,ELLIS ST / STEINER ST,-122.434165498104,37.78214902635221
2009-04-04 19:05:00,Saturday,SOUTHERN,1000 Block of MARKET ST,-122.41133956255699,37.7812707434494
2007-01-23 22:00:00,Tuesday,TARAVAL,1300 Block of 25TH AV,-122.483556156511,37.762327050239705
2013-01-27 23:38:00,Sunday,SOUTHERN,1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2013-11-30 13:54:00,Saturday,CENTRAL,KEARNY ST / WASHINGTON ST,-122.40496030164101,37.795326200325896
